timestamp_esp32,timestamp_recebido,latencia_segundos,temperatura,umidade
1749490156,1749490158.8329551,2.8329551219940186,25.2,77
1749490176,1749490178.8003173,2.8003172874450684,25.1,73
1749490186,1749490188.9378688,2.93786883354187,25.2,72
1749490195,1749490198.1905792,3.1905791759490967,25.1,71
1749490856,1749490858.982506,2.982506036758423,25.3,72
1749490866,1749490868.8136704,2.8136703968048096,25.6,77
1749490876,1749490879.5642395,3.564239501953125,25.5,78
1749490886,1749490889.4123807,3.4123806953430176,25.4,79
1749490896,1749490898.9278162,2.927816152572632,25.3,77
1749490906,1749490908.7659402,2.7659401893615723,25.2,75
1749491426,1749491430.1070266,4.10702657699585,25.4,74
1749491436,1749491439.3178802,3.317880153656006,25.5,77
1749491446,1749491450.996986,4.996985912322998,25.4,79
1749491466,1749491469.1196156,3.1196155548095703,25.3,76
